"TraceType","Continuous"
"TriggerType",""
"SamplePeriod","0:0:10:0:0"
"SampleRate","1"
"ExternalFileStorage","False"
"MaxSamplesPerFile","29999"
"MaxDataSetSize","100"
"TargetDirectory","C:\OMRON\Data\DataTrace\"
"FilePrefix","1#机器时序"

"SampleTimingType","interval"
"TaskName","BaseControl"
"SamplingInterval","1"
"Triggers","False:::"
"PostTriggerDataRatio","100"
"StartOnRun","False"
"EnableRealTimeDisplay","True"
"BehaviorWhenMax","Stop"

"TriggerRecordTime","0"
"StartRawTime","1739181533108760814"
"Index","Date","ClockTime","RawTime","TraceSampID","gSt1Feedingtensionstrap_StateOut.nstatus_Auto:INT","gSt2Feedingandhandling_StateOut.nstatus_Auto:INT","gSt2Feedingandhandling_StateOut.nstatus_Auto_1:INT","gSt2Feedingandhandling_StateOut.nstatus_Auto_2:INT","gSt3FeedingPreposition_StateOut.nstatus_Auto:INT","gSt4Feedingandscraping_StateOut.nstatus_Auto:INT","gSt5FeedScrape_StateOut.nstatus_Auto:INT","gSt6HotpressShaping_StateOut.nstatus_Auto:INT","gSt7FeedingScanning_StateOut.nstatus_Auto:INT","gSt8LoadingNGbox_StateOut.nstatus_Auto:INT","gSt9Feedingpackage_StateOut.nstatus_Auto:INT","gSt10blankingpackage_StateOut.nstatus_Auto:INT","gSt11PackageCart_StateOut[1].nstatus_Auto:INT","gSt11PackageCart_StateOut[2].nstatus_Auto:INT","gSt11PackageCart_StateOut[3].nstatus_Auto:INT","gSt11PackageCart_StateOut[4].nstatus_Auto:INT","gSt11PackageCart_StateOut[5].nstatus_Auto:INT","gSt11PackageCart_StateOut[6].nstatus_Auto:INT","gSt17Cutterstation_StateOut.nstatus_Auto:INT","gSt18Finesealhandling_StateOut.nstatus_Auto:INT","gSt19Fineseal_StateOut.nstatus_Auto:INT","gSt20Fineseal_StateOut.nstatus_Auto:INT","gSt21Weighing_StateOut.nstatus_Auto:INT","gSt22Blankingandhandling_StateOut.nstatus_Auto:INT","gSt23BlankingNGbox_StateOut.nstatus_Auto:INT","gSt24Blankingandscanning_StateOut.nstatus_Auto:INT","gSt25blankingandturning_StateOut.nstatus_Auto:INT","gSt26Blankingtensionstrap_StateOut.nstatus_Auto:INT"
"0","2025-02-10","09:58:53.10","1739181533108760814","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"1","2025-02-10","09:58:53.11","1739181533112761470","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"2","2025-02-10","09:58:53.11","1739181533116760050","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"3","2025-02-10","09:58:53.12","1739181533120760898","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"4","2025-02-10","09:58:53.12","1739181533124769318","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"5","2025-02-10","09:58:53.12","1739181533128761598","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"6","2025-02-10","09:58:53.13","1739181533132761918","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"7","2025-02-10","09:58:53.13","1739181533136758482","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"8","2025-02-10","09:58:53.14","1739181533140761130","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"9","2025-02-10","09:58:53.14","1739181533144757994","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"10","2025-02-10","09:58:53.14","1739181533148767602","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"11","2025-02-10","09:58:53.15","1739181533152755370","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"12","2025-02-10","09:58:53.15","1739181533156766526","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
