Name	YT Scope Project	
File	C:\Users\13507\Desktop\Scope Project.csv	
Starttime of export	134115241862650000	2025年12月30日	07:23:06.265
Endtime of export	134115242379010000	2025年12月30日	07:23:57.901


Name	nstatus_Infor_Wind.nstatus_Act	Name	nstatus_Infor_Code1.nstatus_Act	Name	nstatus_Infor_Code2.nstatus_Act	Name	nstatus_Infor_Code3.nstatus_Act	Name	nstatus_Infor_Trun.nstatus_Act	Name	nstatus_Infor_PFeed.nstatus_Act	Name	nstatus_Infor_NFeed.nstatus_Act	Name	nstatus_Infor_Push.nstatus_Act
SymbolComment	 当前流程	SymbolComment	 当前流程	SymbolComment	 当前流程	SymbolComment	 当前流程	SymbolComment	 当前流程	SymbolComment	 当前流程	SymbolComment	 当前流程	SymbolComment	 当前流程
Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16
SampleTime[ms]	2	SampleTime[ms]	2	SampleTime[ms]	2	SampleTime[ms]	2	SampleTime[ms]	2	SampleTime[ms]	2	SampleTime[ms]	2	SampleTime[ms]	2
VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448
IndexOffset	86193156	IndexOffset	86198736	IndexOffset	86204316	IndexOffset	86209896	IndexOffset	86215476	IndexOffset	86221056	IndexOffset	86226636	IndexOffset	86232216
SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Wind.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Code1.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Code2.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Code3.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Trun.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_PFeed.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_NFeed.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Push.nstatus_Act
NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
